,專利權人,專利件數,他人引證次數,自我引證次數,發明人數,平均專利年齡,活動年期,相對研發能力,國家,時期,indegree,closeness,betweenness,harmonic,eigenvector,katz,pagerank,laplacian,position_class
0,FUJIFILM,98,11,6,87,16,4,1.0,JP,2004_2008,0.2105263157894736,0.2105263157894736,0.043859649122807,4.0,0.3535570552835982,0.2962323880999358,0.1763947736262581,0.2265237815957108,other community
1,SHIN-ETSU CHEMICAL CO,53,4,4,58,16,5,0.54,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.0951847182788457,other community
2,TOKYO OHKA KOGYO,28,1,6,61,16,4,0.33,JP,2004_2008,0.0526315789473684,0.1203007518796992,0.0,2.5,0.3535570047068558,0.2391018965086933,0.1005774852616478,0.1471601959813344,other community
3,ASML NETHERLANDS,27,0,1,66,16,5,0.32,NL,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.107247432070933,isolate node
4,SAMSUNG ELECTRONICS,24,0,1,63,16,4,0.29,KR,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1083395001483537,isolate community
5,GLOBALFOUNDRIES,19,1,0,59,15,3,0.24,US,2004_2008,0.0526315789473684,0.1461988304093567,0.0292397660818713,3.0,0.3535570047068558,0.2391018965086933,0.1005774852616478,0.1484458683744951,largest community
6,TAIWAN SEMICONDUCTOR MANUFACTURING,22,0,0,49,16,4,0.24,TW,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1083395001483542,isolate community
7,SAMSUNG DISPLAY CO,15,0,2,60,16,4,0.21,KR,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709323,isolate node
8,JSR,16,2,1,50,16,4,0.2,JP,2004_2008,0.0526315789473684,0.1263157894736842,0.0,2.833333333333333,0.3535558920185219,0.2333887845059655,0.068351454500213,0.1332255442993291,largest community
9,CITIBANK,18,0,3,24,16,3,0.17,US,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709327,isolate node
10,EASTMAN KODAK,13,0,0,32,16,3,0.14,US,2004_2008,,,,,,,,,
11,MICRON TECHNOLOGY,16,0,0,20,16,3,0.14,US,2004_2008,,,,,,,,,
12,RENESAS ELECTRONICS,12,0,1,30,17,5,0.13,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709325,isolate node
13,FUJITSU,13,0,0,27,16,2,0.13,JP,2004_2008,,,,,,,,,
14,INTEL,13,0,0,22,15,2,0.12,US,2004_2008,,,,,,,,,
15,HITACHI,9,0,1,33,16,4,0.11,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.0951847182788455,other community
16,ALTER DOMUS (US),11,0,1,22,16,4,0.11,US,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709325,isolate node
17,FAR EAST DEVELOPMENT,10,0,0,27,16,3,0.1,US,2004_2008,,,,,,,,,
18,FPC,10,0,0,27,16,3,0.1,US,2004_2008,,,,,,,,,
19,HOYA,11,0,0,20,16,3,0.1,JP,2004_2008,,,,,,,,,
20,LASER PACIFIC MEDIA,10,0,0,27,16,3,0.1,US,2004_2008,,,,,,,,,
21,NPEC,10,0,0,27,16,3,0.1,US,2004_2008,,,,,,,,,
22,QUALEX,10,0,0,27,16,3,0.1,US,2004_2008,,,,,,,,,
23,TOSHIBA MEMORY,11,0,4,14,17,5,0.1,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709322,isolate node
24,SK HYNIX,9,0,0,29,16,4,0.1,KR,2004_2008,,,,,,,,,
25,INTERNATIONAL BUSINESS MACHINES,8,3,0,20,16,4,0.08,US,2004_2008,0.1052631578947368,0.1611842105263158,0.0,3.8333333333333335,0.7071000839506234,0.2567276420086942,0.1264524711780932,0.2097229658947839,largest community
26,MERCK ELECTRONIC MATERIALS,7,3,2,15,16,3,0.07,DE,2004_2008,0.1052631578947368,0.1052631578947368,0.0,2.0,7.923689650692524e-07,0.2513744143758812,0.0691405076677447,0.1822612110870489,isolate community
27,SUMITOMO CHEMICAL,8,0,0,16,16,4,0.07,JP,2004_2008,,,,,,,,,
28,UNITED MICROELECTRONICS CORP,8,0,1,16,17,4,0.07,TW,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709325,isolate node
29,LG DISPLAY,9,0,1,6,16,3,0.06,KR,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.1072474320709323,isolate node
30,AGFA OFFSET BV,8,0,0,14,16,2,0.06,BE,2004_2008,,,,,,,,,
31,APPLIED MATERIALS,6,0,0,15,16,3,0.05,US,2004_2008,,,,,,,,,
32,TORAY INDUSTRIES,5,0,0,14,16,3,0.04,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.0951847182788457,other community
33,CANON,5,0,1,9,16,3,0.03,JP,2004_2008,0.0,0.0,0.0,0.0,1.6858914150409617e-08,0.2094786786465676,0.0256075587503139,0.107247432070933,isolate node
34,KLA-TENCOR,5,0,0,8,16,2,0.03,US,2004_2008,,,,,,,,,
35,NISSAN CHEMICAL INDUSTRIES,3,0,0,6,15,2,0.01,JP,2004_2008,,,,,,,,,
36,ROHM AND HAAS ELECTRONIC MATERIALS,3,0,0,7,16,2,0.01,US,2004_2008,,,,,,,,,
37,INFINEON TECHNOLOGIES AG,2,0,0,7,15,1,0.0,DE,2004_2008,,,,,,,,,
38,BOE TECHNOLOGY,1,0,0,2,15,1,,CN,2004_2008,,,,,,,,,
39,NIKON,2,0,0,5,16,2,,JP,2004_2008,,,,,,,,,
40,SHIN-ETSU CHEMICAL CO,210,103,156,100,12,5,1.0,JP,2009_2013,0.3488372093023256,0.3827242524916943,0.1895441122185308,19.166666666666668,0.4463908182437844,0.3294006754861617,0.1448722895025055,0.124458747854314,largest community
41,FUJIFILM,207,47,92,190,12,5,0.93,JP,2009_2013,0.2325581395348837,0.3434704830053667,0.0840927068501819,16.833333333333332,0.336898775717272,0.2617055258885861,0.0801983308158739,0.0824228025729371,largest community
42,TOKYO OHKA KOGYO,170,32,44,141,12,5,0.72,JP,2009_2013,0.1860465116279069,0.3044397463002113,0.0140141327848969,15.333333333333334,0.3293906310364144,0.2427603546007682,0.0548752102042487,0.065957945615462,largest community
43,SAMSUNG ELECTRONICS,101,11,4,271,12,5,0.53,KR,2009_2013,0.1395348837209302,0.267906976744186,0.090656805357802,13.750000000000002,0.1799943988557555,0.1864262152412814,0.0252122757938441,0.0788780157981178,largest community
44,HOYA,106,10,21,60,12,5,0.41,JP,2009_2013,0.1162790697674418,0.3082535339717281,0.0,14.833333333333334,0.2235253816479283,0.1918460719844087,0.030662815043017,0.0845989745645638,largest community
45,GLOBALFOUNDRIES,72,19,14,155,11,5,0.37,US,2009_2013,0.1627906976744186,0.3044397463002113,0.028609660918631,15.0,0.270478232250251,0.2198252488820641,0.0333318996875073,0.0630662923367221,largest community
46,TAIWAN SEMICONDUCTOR MANUFACTURING,74,7,11,133,11,5,0.34,TW,2009_2013,0.0930232558139534,0.273374466065496,0.0570242050308495,13.166666666666668,0.1905391378057517,0.1752513093883869,0.0178961926504396,0.0623267560902429,largest community
47,SUMITOMO CHEMICAL,68,8,15,74,11,5,0.29,JP,2009_2013,0.0697674418604651,0.2392026578073089,0.0003005853504192,11.750000000000004,0.1687746701644404,0.156985871619039,0.011739379812036,0.0389384644242908,largest community
48,CANON,59,2,2,111,12,5,0.27,JP,2009_2013,0.0232558139534883,0.2160540135033758,0.0014673311184939,10.083333333333334,0.0648404423761892,0.1155643374142707,0.0065970435315049,0.0385156956155209,largest community
49,MICRON TECHNOLOGY,61,8,9,70,11,5,0.26,US,2009_2013,0.0697674418604651,0.2270398108001576,0.0225544481358434,11.250000000000002,0.0908517762904842,0.1388704768264904,0.0144483102035925,0.0559422871911486,largest community
50,MERCK ELECTRONIC MATERIALS,41,18,44,80,12,5,0.24,DE,2009_2013,0.1627906976744186,0.3044397463002113,0.0172019195275009,15.0,0.3111301741957277,0.2295087388838012,0.02355393919067,0.0552974710382165,largest community
51,JSR,54,4,9,90,11,5,0.24,JP,2009_2013,0.0697674418604651,0.273374466065496,0.0268852502241206,12.833333333333334,0.2106344290825219,0.1714552430030858,0.0118983405793142,0.0423189538023915,largest community
52,EASTMAN KODAK,45,22,4,82,11,5,0.23,US,2009_2013,0.1627906976744186,0.3386187455954897,0.0138427464008859,17.333333333333332,0.0892192349402741,0.1822624408658466,0.129835322193393,0.0928998557204489,other community
53,FUJITSU,49,21,7,34,12,5,0.21,JP,2009_2013,0.1162790697674418,0.27344336084021,0.0,13.91666666666667,0.165260264470566,0.1735394710651762,0.0298946009470142,0.0832290699471002,other community
54,ASML NETHERLANDS,43,4,4,106,12,5,0.21,NL,2009_2013,0.0697674418604651,0.267906976744186,0.012735326688815,12.66666666666667,0.1504495976759419,0.1558727899538716,0.0147385189600852,0.0589322460531639,largest community
55,SAMSUNG DISPLAY CO,38,1,0,133,12,5,0.21,KR,2009_2013,0.0232558139534883,0.1937984496124031,0.0,9.366666666666664,0.0346422998623875,0.1080364137747209,0.0070232593126056,0.0438366657152169,other community
56,TOKYO ELECTRON,39,6,4,53,11,4,0.17,JP,2009_2013,0.0465116279069767,0.2270398108001576,0.0040882244370616,10.916666666666668,0.1015123636549749,0.1330894593362577,0.0110038761486603,0.0426768276624374,largest community
57,TOSHIBA MEMORY,36,3,3,63,12,5,0.16,JP,2009_2013,0.0232558139534883,0.1913621262458471,0.0,8.999999999999998,0.0366719213418499,0.10691892269044,0.0079964251258509,0.0443329432864488,largest community
58,FAR EAST DEVELOPMENT,31,0,0,72,11,4,0.14,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0313275071564695,other community
59,FPC,31,0,0,72,11,4,0.14,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0313275071564691,other community
60,LASER PACIFIC MEDIA,31,0,0,72,11,4,0.14,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0313275071564689,other community
61,NPEC,31,0,0,72,11,4,0.14,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0313275071564694,other community
62,QUALEX,31,0,0,72,11,4,0.14,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0313275071564692,other community
63,LG DISPLAY,33,0,3,51,12,5,0.14,KR,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0365630483700157,other community
64,D2S,28,0,56,7,11,4,0.13,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0365630483700157,other community
65,ROHM AND HAAS ELECTRONIC MATERIALS,29,7,2,40,11,5,0.13,US,2009_2013,0.0930232558139534,0.267906976744186,0.0230778357854769,13.000000000000002,0.1604730216616725,0.1655997855618114,0.0148457387432989,0.0517634392733378,largest community
66,SK HYNIX,30,2,2,44,12,5,0.13,KR,2009_2013,0.0232558139534883,0.1860465116279069,0.0,8.83333333333333,0.030884876535805,0.1059537717305523,0.0083987642364282,0.0380767961025174,largest community
67,UNITED MICROELECTRONICS CORP,23,1,0,69,12,5,0.12,TW,2009_2013,0.0232558139534883,0.1894087979826282,0.0,9.116666666666664,0.0271104454535612,0.1055369032195742,0.0177761328878176,0.0717843792545044,largest community
68,RENESAS ELECTRONICS,28,9,4,35,12,5,0.12,JP,2009_2013,0.0930232558139534,0.2549979600163198,0.0138427464008859,12.750000000000004,0.1408572945565173,0.1614310911684108,0.0143312193587523,0.0585357588491545,largest community
69,INFINEON TECHNOLOGIES AG,29,3,1,40,12,4,0.12,DE,2009_2013,0.0697674418604651,0.2392026578073089,0.0095211728102093,11.750000000000004,0.1233712783264242,0.1475440477850957,0.0113654096606867,0.0537110252487074,largest community
70,HITACHI,26,2,2,55,12,5,0.12,JP,2009_2013,0.0465116279069767,0.1969904240766073,0.0212255444813584,9.95,0.0583870274612309,0.122790812714971,0.0118535722011073,0.0526814724213572,largest community
71,CHEIL INDUSTRIES,21,1,7,52,11,5,0.1,KR,2009_2013,0.0232558139534883,0.1886668850311169,0.0021594684385382,9.116666666666664,0.0346422998623875,0.1080364137747209,0.0070232593126056,0.0382977733482923,largest community
72,AGC,25,1,7,33,12,5,0.1,JP,2009_2013,0.0232558139534883,0.1886668850311169,0.0001384274640088,8.833333333333332,0.0405389882467201,0.106539315100894,0.0058474004281656,0.0348255366317375,largest community
73,AGFA OFFSET BV,27,0,0,24,11,5,0.1,BE,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0331334782997014,other community
74,ALTER DOMUS (US),21,8,0,37,12,5,0.1,US,2009_2013,0.1395348837209302,0.2455916176846409,0.0,13.649999999999997,0.0171722880975552,0.1523169410171825,0.1219148750459158,0.0868921594275243,other community
75,NISSAN CHEMICAL INDUSTRIES,25,6,3,28,12,5,0.1,JP,2009_2013,0.0930232558139534,0.2795169946332737,0.0004614248800295,13.500000000000002,0.1833463108568936,0.1726483170574709,0.0168302231811122,0.0541547769513194,largest community
76,LG CHEM,14,2,0,64,11,5,0.08,KR,2009_2013,0.0465116279069767,0.2626538987688098,0.0,12.166666666666668,0.1507535966853449,0.1485043838383118,0.0093957250472322,0.0344135652606428,largest community
77,INTEL,14,2,0,37,13,5,0.07,US,2009_2013,0.0232558139534883,0.1730343300110742,0.0,8.366666666666667,0.0174860162931574,0.1032808441517681,0.0069591260428902,0.0445419670526668,largest community
78,NIKON,14,2,0,21,11,5,0.06,JP,2009_2013,0.0232558139534883,0.1860465116279069,0.0171650055370985,8.749999999999998,0.0289558079116918,0.1049810726441079,0.018122340181555,0.053505282011333,largest community
79,SHOWA DENKO MATERIALS,13,2,2,26,11,4,0.06,JP,2009_2013,0.0232558139534883,0.156289072268067,0.0,7.75,0.0112376757901477,0.1016728792769357,0.0096247841677192,0.0531233439375103,largest community
80,INTERNATIONAL BUSINESS MACHINES,10,1,1,28,13,5,0.05,US,2009_2013,0.0232558139534883,0.2309542902967121,0.0,10.833333333333334,0.0859131543722199,0.1223338471924942,0.0083932413729624,0.036583929525011,largest community
81,CARL ZEISS SMT,12,0,2,25,11,4,0.05,DE,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0399244042594605,isolate node
82,CITIBANK,8,0,2,10,12,5,0.03,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.0399244042594613,isolate node
83,BOE TECHNOLOGY,6,1,0,10,12,3,0.02,CN,2009_2013,,,,,,,,,
84,APPLIED MATERIALS,7,0,0,14,12,3,0.02,US,2009_2013,,,,,,,,,
85,KLA-TENCOR,5,1,0,10,12,3,0.02,US,2009_2013,0.0,0.0,0.0,0.0,6.306432839756329e-11,0.089393800768453,0.0055945598572351,0.037717415539101,largest community
86,TORAY INDUSTRIES,6,0,0,11,12,4,0.02,JP,2009_2013,,,,,,,,,
87,SHENZHEN CHINA STAR OPTOELECTRONICS SEMICONDUCTOR DISPLAY TECHNOLOGY,1,0,0,1,10,1,,CN,2009_2013,,,,,,,,,
88,TAIWAN SEMICONDUCTOR MANUFACTURING,321,32,543,354,7,5,1.0,TW,2014_2018,0.2564102564102564,0.3447293447293447,0.1472495340916393,15.666666666666668,0.2929712560432955,0.2697095228193324,0.083859062969963,0.1019105603113993,largest community
89,SHIN-ETSU CHEMICAL CO,321,56,72,127,7,5,0.75,JP,2014_2018,0.2564102564102564,0.3265856950067476,0.1250918428550007,15.416666666666668,0.3907817761092887,0.2943219099845971,0.1047781143392043,0.1015358091679622,largest community
90,ASML NETHERLANDS,251,7,26,546,7,5,0.72,NL,2014_2018,0.0769230769230769,0.1909270216962524,0.0516194331983805,9.083333333333332,0.0239504667040877,0.1241280077162599,0.0223630693300695,0.0869285179587305,other community
91,FUJIFILM,264,45,45,207,8,5,0.65,JP,2014_2018,0.2564102564102564,0.3182117028270874,0.0264973330762804,15.250000000000002,0.3264461075927469,0.2740223542295556,0.088186885701875,0.0905736501542334,largest community
92,TOKYO OHKA KOGYO,140,53,11,132,7,5,0.37,JP,2014_2018,0.1794871794871795,0.2482051282051282,0.0436250883619304,12.7,0.3115007121974751,0.2415201059830689,0.0934105535907431,0.0929779136843665,largest community
